StudentNo,100125468	
System,stemmed	
QueryNo,Rank,URL
7,5.88523219225932e-10,portal.uea.ac.uk/en/staff-mobility/training-staff-mobility
7,5.88523219225932e-10,portal.uea.ac.uk/staff-mobility/training-staff-mobility
7,5.854338584950872e-10,portal.uea.ac.uk/staff-mobility/teaching-staff-mobility
7,5.854338584950872e-10,portal.uea.ac.uk/en/staff-mobility/teaching-staff-mobility
7,5.83901309127299e-10,portal.uea.ac.uk/en/staff-mobility/agreed-teaching-staff-links
7,5.83901309127299e-10,portal.uea.ac.uk/staff-mobility/agreed-teaching-staff-links
8,3.7371159977350884e-08,portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-visitors
8,3.7371159977350884e-08,portal.uea.ac.uk/web/hub/estates/travel-and-transport/by-car/parking-for-visitors
8,3.7371159977350884e-08,portal.uea.ac.uk/en/estates/travel-and-transport/by-car/parking-for-visitors
8,3.6595640853493185e-08,portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-students
8,3.6595640853493185e-08,portal.uea.ac.uk/en/estates/travel-and-transport/by-car/parking-for-students
8,3.408787091344412e-08,portal.uea.ac.uk/web/hub/estates/travel-and-transport/by-car/parking-for-staff
8,3.408787091344412e-08,portal.uea.ac.uk/estates/travel-and-transport/by-car/parking-for-staff
8,3.408787091344412e-08,portal.uea.ac.uk/en/estates/travel-and-transport/by-car/parking-for-staff
8,3.3260960286964714e-08,portal.uea.ac.uk/estates/travel-and-transport/by-car/about-us-parking-for-visitors
8,3.3260960286964714e-08,portal.uea.ac.uk/en/estates/travel-and-transport/by-car/about-us-parking-for-visitors
9,1.4906190344807557e-08,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/shared-dimensions/date-dim_date-
9,1.0792570935402343e-08,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/postgraduate-research-reporting
9,9.960136313617719e-09,portal.uea.ac.uk/csed/learning-and-teaching1/uea-writing-cafe
9,9.960136313617719e-09,portal.uea.ac.uk//csed/learning-and-teaching1/uea-writing-cafe
9,9.960136313617719e-09,portal.uea.ac.uk/en/csed/learning-and-teaching1/uea-writing-cafe
9,9.769721049580163e-09,portal.uea.ac.uk/estates/improving-your-campus/buildings-and-projects
9,9.769721049580163e-09,portal.uea.ac.uk/estates/improving-your-campus/future-works
9,9.769721049580163e-09,portal.uea.ac.uk/en/estates/improving-your-campus/buildings-and-projects
9,9.769721049580163e-09,portal.uea.ac.uk/en/estates/improving-your-campus/future-works
9,9.76355467584895e-09,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/senate
10,1.2643400270849703e-08,portal.uea.ac.uk/csed/resources/labyrinth/book-of-reflection
10,1.2643400270849703e-08,portal.uea.ac.uk/en/csed/resources/labyrinth/book-of-reflection
10,1.2043116735329587e-08,portal.uea.ac.uk/student-support-service/learning-enhancement/study-resources/academic-writing-study-skills/lectures-and-seminars
10,1.2043116735329587e-08,portal.uea.ac.uk/en/student-support-service/learning-enhancement/study-resources/academic-writing-study-skills/lectures-and-seminars
10,1.0022072409162139e-08,portal.uea.ac.uk/graduationoffice/registration
10,1.0022072409162139e-08,portal.uea.ac.uk/en/graduationoffice/registration
10,9.241188037664551e-09,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/data-protection-act-faqs
10,9.241188037664551e-09,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/data-protection-act-faqs
10,9.195352789437063e-09,portal.uea.ac.uk/itservices/help/personal-filestore
10,9.1258611334186e-09,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/copyright/faqs
