StudentNo,100136499
System,relfbk (after feedback)
QueryNo,Rank,URL
9,1,portal.uea.ac.uk/estates/improving-your-campus/future-works
9,2,portal.uea.ac.uk/en/estates/improving-your-campus/buildings-and-projects
9,3,portal.uea.ac.uk/en/estates/improving-your-campus/future-works
9,4,portal.uea.ac.uk/estates/building-design-guide
9,5,portal.uea.ac.uk/en/estates/building-design-guide
9,6,portal.uea.ac.uk/en/estates/building-management
9,7,portal.uea.ac.uk/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/academic-building-heating-guide
9,8,portal.uea.ac.uk/en/estates/help-centre/latest-news/-/asset_publisher/4y6W3ljN9SEH/content/academic-building-heating-guide
9,9,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/disclosure-log/estates-and-building-matters
9,10,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/freedom-of-information/disclosure-log/estates-and-building-matters
10,1,portal.uea.ac.uk/student-support-service/learning-enhancement/study-resources/academic-writing-study-skills/lectures-and-seminars
10,2,portal.uea.ac.uk/en/student-support-service/learning-enhancement/study-resources/academic-writing-study-skills/lectures-and-seminars
10,3,portal.uea.ac.uk/learning-and-teaching/staff/course-modules/proposals
10,4,portal.uea.ac.uk/web/about/sustainability/blog/-/asset_publisher/ySKO7wbGdMr2/content/starting-the-cycle-to-work
10,5,portal.uea.ac.uk/learning-and-teaching/docs/course-module
10,6,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/data-protection-act-faqs
10,7,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/information-regulations-and-policies/data-protection/data-protection-act-faqs
10,8,portal.uea.ac.uk/web/about/sustainability/blog/-/asset_publisher/ySKO7wbGdMr2/content/following-on-from-plastic-free-july
10,9,portal.uea.ac.uk/digital-voyager
10,10,portal.uea.ac.uk/learning-and-teaching/room-bookings
