StudentNo,100136499
System,basic
QueryNo,Rank,URL
1,0.0037287573406067933,portal.uea.ac.uk/estates/working-on-campus/post-portering
1,0.0037180868108562487,portal.uea.ac.uk/web/about/media-room/uea-gigs/story-archivex
1,0.003700437664602184,portal.uea.ac.uk/web/about/media-room/search
1,0.003683535366244417,portal.uea.ac.uk/web/about/sustainability/who-are-we/sustainability-network
1,0.003657992602755861,portal.uea.ac.uk/web/about/sustainability/get-involved/green-flats
1,0.003651329592550477,portal.uea.ac.uk/student-support-service/contact-us
1,0.003651329592550477,portal.uea.ac.uk/dos/contact-us
1,0.003651329592550477,portal.uea.ac.uk/en/student-support-service/contact-us
1,0.003631485409982268,portal.uea.ac.uk/web/about/visiting-staying
1,0.003618375354350563,portal.uea.ac.uk/postgraduate-research/who-does-what
1,0.003618375354350563,portal.uea.ac.uk/en/postgraduate-research/who-does-what
1,0.00358472808710696,portal.uea.ac.uk/en/accommodation/contact-us
1,0.00358472808710696,portal.uea.ac.uk/accommodation/contact-us
1,0.0035168069233512487,portal.uea.ac.uk/web/about/our-university/structure/fmh
1,0.0034750023834005652,portal.uea.ac.uk/web/about/corporate-social-responsibility/charity-information
1,0.003458557533316446,portal.uea.ac.uk/estates/post-and-portering
1,0.003458557533316446,portal.uea.ac.uk/en/estates/post-and-portering
1,0.003444295440395553,portal.uea.ac.uk/en/multifaith/faiths
1,0.003444295440395553,portal.uea.ac.uk/multifaith/faiths
1,0.0034310311447329255,portal.uea.ac.uk/itservices/help/known-issues/-/blogs/21854987
1,0.0034310311447329255,portal.uea.ac.uk/itservices/help/known-issues/-/blogs/chrome-side-by-side-error
2,0.016492001815468574,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes/cube_access_event
2,0.01580175602893213,portal.uea.ac.uk/library/access
2,0.015251183623858505,portal.uea.ac.uk/ren/open-access-and-research-data/what-is-oa
2,0.015251183623858505,portal.uea.ac.uk/rin/open-access-and-research-data/what-is-oa
2,0.015251183623858505,portal.uea.ac.uk/en/rin/open-access-and-research-data/what-is-oa
2,0.01504928281799221,portal.uea.ac.uk/library/other-collections
2,0.01504928281799221,portal.uea.ac.uk/web/hub/library/other-collections
2,0.014953630810180212,portal.uea.ac.uk/library/access/visitors/e-resources
2,0.014953630810180212,portal.uea.ac.uk/web/hub/library/access/visitors/e-resources
2,0.014859270463893393,portal.uea.ac.uk/library/cd-music-library
