StudentNo,100136499
System,relfbk
QueryNo,Rank,URL
1,96,portal.uea.ac.uk/en/postgraduate-research/who-does-what/academic-pgr-contact-details
1,97,portal.uea.ac.uk/postgraduate-research/who-does-what/academic-pgr-contact-details
1,98,portal.uea.ac.uk/planningoffice/sro/partner-colleges
1,99,portal.uea.ac.uk/en/planningoffice/sro/partner-colleges
1,100,portal.uea.ac.uk/library/subject-guides/business-management-and-accountancy/thomson-reuters-database-support
2,1,portal.uea.ac.uk/library/access
2,2,portal.uea.ac.uk/web/hub/library/borrowing/sconul-access
2,3,portal.uea.ac.uk/library/borrowing/sconul-access
2,4,portal.uea.ac.uk/ren/open-access-and-research-data/what-is-oa
2,5,portal.uea.ac.uk/rin/open-access-and-research-data/what-is-oa
2,6,portal.uea.ac.uk/en/rin/open-access-and-research-data/what-is-oa
2,7,portal.uea.ac.uk/itservices/corporate-systems/administrative/reporting/cubes/cube_access_event
2,8,portal.uea.ac.uk/web/hub/library/access/visitors/e-resources
2,9,portal.uea.ac.uk/library/access/visitors/e-resources
2,10,portal.uea.ac.uk/library/access/sconul
2,11,portal.uea.ac.uk/web/hub/library/access/sconul
2,12,portal.uea.ac.uk/library/other-collections
2,13,portal.uea.ac.uk/web/hub/library/other-collections
2,14,portal.uea.ac.uk/library/news/-/asset_publisher/PFyiDU0daRt0/blog/christmas-in-the-library
2,15,portal.uea.ac.uk/library/cd-music-library
2,16,portal.uea.ac.uk/web/hub/library/cd-music-library
2,17,portal.uea.ac.uk/estates/access-and-security/staff-access
2,18,portal.uea.ac.uk/en/estates/access-and-security/staff-access
2,19,portal.uea.ac.uk/library/disabilities/finding-and-borrowing-library-materials
2,20,portal.uea.ac.uk/information-services/strategy-planning-and-compliance/regulations-and-policies/library-regulations-and-policies
2,21,portal.uea.ac.uk/en/information-services/strategy-planning-and-compliance/regulations-and-policies/library-regulations-and-policies
2,22,portal.uea.ac.uk/en/library
2,23,portal.uea.ac.uk/library
2,24,portal.uea.ac.uk/library/
2,25,portal.uea.ac.uk/library/helpdesk
2,26,portal.uea.ac.uk/web/hub/library/helpdesk
2,27,portal.uea.ac.uk/itservices/corporate-systems/teaching-and-learning/library-management-system
2,28,portal.uea.ac.uk/itservices/corporate-systems/administrative/access-control
2,29,portal.uea.ac.uk/csed/resources/library-links
2,30,portal.uea.ac.uk/rin/open-access-and-research-data
2,31,portal.uea.ac.uk/ren/open-access-and-research-data
2,32,portal.uea.ac.uk/library/research-support/open-access
2,33,portal.uea.ac.uk/en/rin/open-access-and-research-data
2,34,portal.uea.ac.uk/web/hub/library/health-sciences-kl
2,35,portal.uea.ac.uk/library/health-sciences-kl
2,36,portal.uea.ac.uk/library/research-reserve
2,37,portal.uea.ac.uk/Library/research-reserve
2,38,portal.uea.ac.uk/is/online-wiki-helpdesk/-/wiki/Main/Allow+Guests+to+Access+your+Module+on+Blackboard
