Query,Rank,AveragePosition,URL
3,8,5.6,portal.uea.ac.uk/web/about/key-dates
,,,
3,9,5.875,portal.uea.ac.uk/en/committee-office/semester-dates/archived-dates
,,,
3,10,6.25,portal.uea.ac.uk/csed/qualifications/teaching-skills
,,,
3,11,6.25,portal.uea.ac.uk/planningoffice/slc/year-abroad-form
,,,
3,12,6.5,portal.uea.ac.uk/accommodation/summer/application-form
,,,
3,13,6.666666667,portal.uea.ac.uk/accommodation/key-dates
,,,
3,14,6.666666667,portal.uea.ac.uk/finance/abw/dates
,,,
3,15,6.666666667,portal.uea.ac.uk/en/planningoffice/slc/year-abroad-form
,,,
3,16,7.166666667,portal.uea.ac.uk/nursery/dates-and-opening-times
,,,
3,17,7.2,portal.uea.ac.uk/en/csed/qualifications/teaching-skills
,,,
3,18,7.6,portal.uea.ac.uk/en/nursery/dates-and-opening-times
,,,
3,19,7.8,portal.uea.ac.uk/en/finance/abw/dates
,,,
3,20,8.333333333,portal.uea.ac.uk/csed/learning-and-teaching1/uea-writing-cafe
,,,
3,21,9.166666667,portal.uea.ac.uk//csed/learning-and-teaching1/uea-writing-cafe
,,,
4,1,2.545454545,portal.uea.ac.uk/csed/learning-and-teaching1/learning-and-teaching-days
,,,
4,2,2.857142857,portal.uea.ac.uk/committee-office/uea-committees-and-boards
,,,
4,3,3.125,portal.uea.ac.uk/learning-and-teaching/staff/teaching/learning-teaching-day
,,,
4,4,3.833333333,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards
,,,
4,5,4,portal.uea.ac.uk/committee-office/uea-committees-and-boards/widening-participation-committee
,,,
4,6,4,portal.uea.ac.uk/committee-office
,,,
4,7,4,portal.uea.ac.uk/committee-office/archived-committee-minutes-and-documents
,,,
4,8,4,portal.uea.ac.uk/learning-and-teaching/docs/learning-and-teaching
,,,
4,9,4.111111111,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-membership
,,,
4,10,4.75,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee/learning-and-teaching-committee-membership
,,,
4,11,5,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/widening-participation-committee
,,,
4,12,5.166666667,portal.uea.ac.uk/learning-and-teaching/docs/learning-and-teaching-strategies
,,,
4,13,5.285714286,portal.uea.ac.uk/learning-and-teaching/staff/teaching
,,,
4,14,5.8,portal.uea.ac.uk/committee-office/uea-standing-orders-and-terms-of-reference
,,,
4,15,6,portal.uea.ac.uk/committee-office/uea-committees-and-boards/standing-committee-of-the-assembly
,,,
4,16,6.25,portal.uea.ac.uk/committee-office/uea-committees-and-boards/learning-and-teaching-committee
,,,
4,17,6.333333333,portal.uea.ac.uk/en/committee-office/uea-standing-orders-and-terms-of-reference
,,,
4,18,6.571428571,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/learning-and-teaching-committee
,,,
4,19,6.666666667,portal.uea.ac.uk/en/committee-office/uea-committees-and-boards/standing-committee-of-the-assembly
,,,
4,20,6.666666667,portal.uea.ac.uk/learning-and-teaching/learning-and-teaching-strategies
,,,
4,21,7,portal.uea.ac.uk/committee-office/uea-committees-and-boards/finance-group/finance-group-membership
,,,
4,22,7.714285714,portal.uea.ac.uk/learning-and-teaching/staff/new-staff/academic-roles
,,,
4,23,7.857142857,portal.uea.ac.uk/learning-and-teaching/staff/teaching/innovation
,,,
4,24,8,portal.uea.ac.uk/learning-and-teaching/staff/teaching/teaching-fellowships/selection-criteria
,,,
5,1,1.055555556,portal.uea.ac.uk/web/about/our-university/executive/neil-ward
,,,
